seed	replicate	model	label	factor	bits	value	predecessor	gap
20260909	0	upward_scan	RSA-110	1	182	4695277044551724663424103693946082600282917585724459637	4695277044551724663424103693946082600282917585724459313	324
20260909	0	upward_scan	RSA-110	2	182	5171812078646287265458671172989269575284082886300519213	5171812078646287265458671172989269575284082886300519093	120
20260909	0	upward_scan	RSA-120	1	198	331959300277220313354781581847167024730221340766461571307437	331959300277220313354781581847167024730221340766461571306897	540
20260909	0	upward_scan	RSA-120	2	199	691713774978992240708195252608011681311065947988544423132951	691713774978992240708195252608011681311065947988544423132579	372
20260909	0	upward_scan	RSA-130	1	215	47817806752580940157686169970232051766989340891613675668795173077	47817806752580940157686169970232051766989340891613675668795172453	624
20260909	0	upward_scan	RSA-130	2	215	44268808707789759714048723887347051384391182831031650306155894701	44268808707789759714048723887347051384391182831031650306155894269	432
20260909	0	upward_scan	RSA-140	1	231	2971621703076184426804464721339833917865688254439672977088101755392283	2971621703076184426804464721339833917865688254439672977088101755392169	114
20260909	0	upward_scan	RSA-140	2	232	6876020379127537697878013602117230689783617623682154645677152211942541	6876020379127537697878013602117230689783617623682154645677152211941431	1110
20260909	0	upward_scan	RSA-150	1	248	390637832341456641980723904404170348345468040352068665444653582604628317799	390637832341456641980723904404170348345468040352068665444653582604628317151	648
20260909	0	upward_scan	RSA-150	2	248	413852127442936246791983669592190560288564314522006240507814733155638686727	413852127442936246791983669592190560288564314522006240507814733155638686493	234
20260909	0	upward_scan	RSA-160	1	265	49030650280834162964366069351273723803485408375285494023914488068934443151293193	49030650280834162964366069351273723803485408375285494023914488068934443151292983	210
20260909	0	upward_scan	RSA-160	2	265	55379866934665197815433407429004206172758852279617498981694187466410842421095513	55379866934665197815433407429004206172758852279617498981694187466410842421094781	732
20260909	0	upward_scan	RSA-170	1	281	3213522111644419635315544185830725513798034273425063135618926517265393408785051745177	3213522111644419635315544185830725513798034273425063135618926517265393408785051744799	378
20260909	0	upward_scan	RSA-170	2	282	6202150370548464453650246106069641796604491143425417428385576613876584927041613359467	6202150370548464453650246106069641796604491143425417428385576613876584927041613358543	924
20260909	0	upward_scan	RSA-180	1	298	419557130665269121848128822951889064850613885816139513678962808200508229462822574010029893	419557130665269121848128822951889064850613885816139513678962808200508229462822574010029461	432
20260909	0	upward_scan	RSA-180	2	298	437186129081066487071911517200244473149439358583139607211629119724628652820632993367818799	437186129081066487071911517200244473149439358583139607211629119724628652820632993367817401	1398
20260909	0	upward_scan	RSA-190	1	314	29340949828272584344785899772788777438572596689817533057468697244418099626254046549585775806949	29340949828272584344785899772788777438572596689817533057468697244418099626254046549585775805917	1032
20260909	0	upward_scan	RSA-190	2	315	58424154683543379276980663257701579788954702482508455481866862438255681409454617443028870509717	58424154683543379276980663257701579788954702482508455481866862438255681409454617443028870509123	594
20260909	0	upward_scan	RSA-200	1	331	3599886643245634571748424340980351899764116356091152948047133101361954368239470327893209299677299853	3599886643245634571748424340980351899764116356091152948047133101361954368239470327893209299677299079	774
20260909	0	upward_scan	RSA-200	2	332	7685899651464341786618648418458640333077812159936935431671875546770413725546383254482032045031531947	7685899651464341786618648418458640333077812159936935431671875546770413725546383254482032045031531707	240
20260909	0	upward_scan	RSA-210	1	348	439777053720078116195663198291115215761700636516268043010497940575430966575968031350906508836230597283851	439777053720078116195663198291115215761700636516268043010497940575430966575968031350906508836230597283467	384
20260909	0	upward_scan	RSA-210	2	348	516951154261627440179776249081544543468605117437592616977905402509572008212561134792215949221756660414953	516951154261627440179776249081544543468605117437592616977905402509572008212561134792215949221756660414209	744
20260909	0	upward_scan	RSA-220	1	364	35119065434898783238340732282531509082246442998009975896824066955359368862249459729130453923211564506763590359	35119065434898783238340732282531509082246442998009975896824066955359368862249459729130453923211564506763588277	2082
20260909	0	upward_scan	RSA-220	2	365	64557651208480432285235442724478233972309554714578108625320334968737930937599421417091655436414031443363042513	64557651208480432285235442724478233972309554714578108625320334968737930937599421417091655436414031443363040977	1536
20260909	0	upward_scan	RSA-230	1	381	4213352705536550003726794947705768726679342669824290794832143198931290453833775835673850718220142173367392246217277	4213352705536550003726794947705768726679342669824290794832143198931290453833775835673850718220142173367392246216953	324
20260909	0	upward_scan	RSA-230	2	381	4910451721744153074816856316762344272737727490920912615431126837481598477346266720109920059531570653511591791677169	4910451721744153074816856316762344272737727490920912615431126837481598477346266720109920059531570653511591791676953	216
20260909	0	upward_scan	RSA-240	1	397	306246047420522018095605512270976517965648545108200101527150770532443035250262034093057855870014643735735638978979470597	306246047420522018095605512270976517965648545108200101527150770532443035250262034093057855870014643735735638978979470291	306
20260909	0	upward_scan	RSA-240	2	398	561485113657634187989454855088387679173989826007623817509204537484222739208060489256795370722682464052190447564597851917	561485113657634187989454855088387679173989826007623817509204537484222739208060489256795370722682464052190447564597851329	588
