seed	replicate	model	normalized_gap_sum	log_normalized_gap_sum	candidates	fermat_tests	wraps	job_seconds
20260909	0	uniform_accepted	34.475428298874291	-15.325197280638458	17002	3596	0	0.044817833000000001
20260909	0	upward_scan	54.259346142512378	9.1255833880335189	16534	3429	0	0.041103124999999997
20260909	1	uniform_accepted	27.095869233387614	-23.929599062338749	12532	2563	0	0.031886417
20260909	1	upward_scan	50.778100796934858	4.0635551997080812	15377	3194	0	0.039363291000000002
20260909	2	uniform_accepted	31.402036809918027	-23.713958959595406	13919	2948	0	0.040567625000000003
20260909	2	upward_scan	57.528805803869851	9.1715695648892428	16526	3443	0	0.042398208999999999
20260909	3	uniform_accepted	46.086237643821853	-5.4870645079350302	14759	3083	0	0.039653874999999998
20260909	3	upward_scan	63.211855616214933	10.146194799455824	20055	4179	0	0.053730332999999998
20260909	4	uniform_accepted	45.934909233625717	-8.0397130431637507	17455	3495	0	0.042486875
20260909	4	upward_scan	67.832053593508519	11.723124419304437	24194	5042	0	0.072052541999999997
20260909	5	uniform_accepted	33.246051106175528	-19.709922887785225	12772	2632	0	0.033707292
20260909	5	upward_scan	54.172376152910587	6.9068857890584843	16505	3437	0	0.040162749999999997
20260909	6	uniform_accepted	30.474676527491312	-19.934911156127491	13190	2762	0	0.033209666999999998
20260909	6	upward_scan	64.716701501071597	9.16249169068446	20132	4196	0	0.058899041999999999
20260909	7	uniform_accepted	31.644115802893221	-22.01071564587145	15236	3202	0	0.042636915999999997
20260909	7	upward_scan	60.896329778534948	7.6322275675226212	17695	3687	0	0.043771707999999999
